# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.648460987940430641e+03 1.006389570899646202e+00 6.168443672986541511e-03 -3.634626887394831840e+01 6.412046537294492587e+00 2.410000000000000142e+00 2.410000000000000142e+00 2.410000000000000142e+00 1.377980881911057622e+03 1.028750999999999971e+00 2.000000000000000000e+01
8.648461335240397602e+03 1.002914367901807324e+00 6.087535618730231801e-03 -3.652421544672368725e+01 6.261422461205786050e+00 2.339999999999999858e+00 2.339999999999999858e+00 2.339999999999999858e+00 1.715901070731026721e+03 1.029157000000000100e+00 2.000000000000000000e+01
8.648461681840475649e+03 9.881125296774031508e-01 6.096283051697647982e-03 -3.578721736027644340e+01 6.312975595285604591e+00 2.350000000000000089e+00 2.350000000000000089e+00 2.350000000000000089e+00 2.231229824862637543e+03 1.029568999999999956e+00 2.000000000000000000e+01
8.648462029240559787e+03 9.966536184936222176e-01 5.981427308187918859e-03 -3.549748221596518505e+01 6.165429204374879291e+00 2.540000000000000036e+00 2.540000000000000036e+00 2.540000000000000036e+00 2.156179137512877787e+03 1.029984000000000011e+00 2.000000000000000000e+01
8.648462375840637833e+03 9.990039448927797716e-01 5.898467831201540008e-03 -3.585708727155412845e+01 5.809816150874882013e+00 2.649999999999999911e+00 2.649999999999999911e+00 2.649999999999999911e+00 2.088049233237465614e+03 1.030405299999999968e+00 2.000000000000000000e+01
8.648462723140604794e+03 9.951043663413964291e-01 5.833971559079732458e-03 -3.571635193877168035e+01 5.910797648377471347e+00 2.669999999999999929e+00 2.669999999999999929e+00 2.669999999999999929e+00 1.836506962032108504e+03 1.030830700000000100e+00 2.000000000000000000e+01
8.648463070340454578e+03 9.945635177905234325e-01 5.906636670824908474e-03 -3.511538184868110335e+01 5.805970941271100472e+00 2.729999999999999982e+00 2.729999999999999982e+00 2.729999999999999982e+00 1.601124719640710964e+03 1.031260999999999983e+00 2.000000000000000000e+01
8.648463417640421540e+03 9.969868217894406470e-01 5.938325390911067779e-03 -3.468541046813294315e+01 6.062072717226469010e+00 2.689999999999999947e+00 2.689999999999999947e+00 2.689999999999999947e+00 1.565934039105425882e+03 1.031695000000000029e+00 2.000000000000000000e+01
8.648463764340616763e+03 9.961415109800333401e-01 5.962282868997231984e-03 -3.396570654229803665e+01 6.170391213762891347e+00 2.700000000000000178e+00 2.700000000000000178e+00 2.700000000000000178e+00 1.543148886879721886e+03 1.032135100000000083e+00 2.000000000000000000e+01
8.648464111740700901e+03 1.000397884473704480e+00 5.980894945839972804e-03 -3.382239716917603545e+01 6.377852738558591028e+00 2.430000000000000160e+00 2.430000000000000160e+00 2.430000000000000160e+00 1.434478303678743032e+03 1.032579300000000089e+00 2.000000000000000000e+01
8.648464458340778947e+03 1.002827401006066710e+00 6.037013991787995408e-03 -3.382241175724909965e+01 6.200048991612026050e+00 2.240000000000000213e+00 2.240000000000000213e+00 2.240000000000000213e+00 1.381345935192736988e+03 1.033028599999999964e+00 2.000000000000000000e+01
8.648464806440752000e+03 9.958265773181432801e-01 5.971053747414252488e-03 -3.345149549547132750e+01 6.606277848338033110e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 1.654491189474587827e+03 1.033481099999999930e+00 2.000000000000000000e+01
8.648465152340475470e+03 1.001187870637173294e+00 5.956038432680985963e-03 -3.363605977152730020e+01 6.630217117267650728e+00 2.399999999999999911e+00 2.399999999999999911e+00 2.399999999999999911e+00 1.716827850006438894e+03 1.033940099999999918e+00 2.000000000000000000e+01
