hjd,lc,fwhm_x,fwhm_y,airmass,fwhm
2456569.56622,2858.05888525,1012.02740479,925.1875,1.18148028851,3.3900001049
2456569.56943,2877.28056337,1013.36218262,926.250488281,1.17251718044,3.13000011444
2456569.57015,2881.56988,1013.83502197,926.446044922,1.17058169842,3.09999990463
2456569.57087,2884.85192871,1014.28686523,926.826293945,1.16867637634,3.18000006676
2456569.57159,2862.64161488,1015.31445312,926.690979004,1.16678905487,3.25999999046
2456569.57235,2897.62601992,1011.93023682,925.292785645,1.16484868526,3.19000005722
2456569.57307,2869.42562787,1012.27728271,925.661499023,1.16303217411,3.30999994278
2456569.57379,2866.85467285,1012.87280273,925.809692383,1.16124737263,3.20000004768
2456569.57454,2878.80835343,1013.41290283,925.957702637,1.15941429138,3.05999994278
2456569.57526,2872.37849156,1014.05792236,926.240600586,1.15768349171,3.20000004768
2456569.57598,2876.19573507,1014.91711426,926.283569336,1.15597820282,3.11999988556
2456569.5767,2855.13169634,1014.35516357,926.435913086,1.15429675579,3.23000001907
2456569.57742,2855.29684525,1014.36187744,926.764221191,1.1526465416,3.15000009537
2456569.57815,2881.18533858,1014.73400879,927.038024902,1.15101742744,3.31999993324
2456569.57887,2862.02330107,1014.42724609,927.229492188,1.14942133427,3.19000005722
2456569.57959,2869.48871807,1014.90808105,927.392028809,1.14785158634,3.1099998951
2456569.58035,2885.58038512,1011.53863525,924.880187988,1.14623188972,3.15000009537
2456569.58107,2859.13313403,1011.02362061,925.011047363,1.14471793175,3.15000009537
2456569.58179,2877.0212052,1011.08062744,925.346252441,1.14322245121,3.11999988556
2456569.58251,2871.09249843,1011.59594727,925.449462891,1.14175891876,3.25
2456569.58324,2898.494773,1011.49432373,925.545593262,1.14032053947,3.25
2456569.58396,2858.70499147,1012.04516602,925.698852539,1.13891172409,3.40000009537
2456569.58468,2875.70625124,1013.12017822,925.819152832,1.13752472401,3.33999991417
2456569.5854,2875.76114886,1014.12597656,925.896118164,1.13616621494,3.31999993324
2456569.58612,2886.040198,1015.37072754,926.328491211,1.13483405113,3.6099998951
2456569.58684,2866.26647767,1017.20361328,926.547058105,1.13352501392,3.43000006676
2456569.5876,2883.44851187,1012.40136719,925.07800293,1.13217139244,3.47000002861
2456569.58832,2861.93512048,1013.3583374,925.003112793,1.13091659546,3.50999999046
2456569.58904,2868.12124376,1013.86279297,925.112487793,1.12968659401,3.47000002861
2456569.58976,2878.06706112,1014.41210938,925.419372559,1.12847983837,3.63000011444
2456569.59048,2859.76475093,1015.45855713,925.593566895,1.12729978561,3.46000003815
2456569.59121,2885.77810489,1016.48901367,925.638916016,1.12613904476,3.44000005722
2456569.59197,2864.4847404,1012.47473145,924.898071289,1.12493026257,3.48000001907
2456569.5927,2851.58092812,1013.94812012,925.053161621,1.12382555008,3.42000007629
2456569.59342,2858.1993975,1014.69683838,925.188781738,1.12274241447,3.44000005722
2456569.59414,2861.88558225,1015.28314209,925.538085938,1.1216802597,3.42000007629
2456569.59486,2867.27772988,1015.96691895,925.821594238,1.12064731121,3.3599998951
2456569.59562,2866.69852508,1012.36352539,924.998901367,1.11957943439,3.33999991417
2456569.59635,2864.36808923,1012.95013428,925.117675781,1.11859118938,3.40000009537
2456569.59707,2860.91068344,1013.57641602,925.377319336,1.11762583256,3.43000006676
2456569.59779,2881.78074526,1014.37542725,925.544921875,1.11668252945,3.50999999046
2456569.59851,2864.99867381,1015.32366943,925.734863281,1.11576890945,3.47000002861
2456569.59923,2871.14653531,1015.82751465,925.969665527,1.11487650871,3.41000008583
2456569.6,2872.15867857,1012.8850708,924.908081055,1.11395096779,3.51999998093
2456569.60305,2886.06539301,1011.99035645,925.657348633,1.11054384708,3.20000004768
2456569.60377,2874.4752832,1012.56085205,925.903930664,1.10979557037,3.09999990463
2456569.6045,2868.03000925,1013.2276001,926.104797363,1.10906589031,3.29999995232
2456569.60522,2868.11141975,1013.62420654,926.253601074,1.10836386681,3.28999996185
2456569.60594,2879.59283085,1013.98858643,926.846191406,1.10768532753,3.19000005722
2456569.60666,2857.87967288,1014.621521,927.009216309,1.10702896118,3.24000000954
2456569.60738,2879.07954266,1015.29504395,927.270507812,1.10639476776,3.36999988556
2456569.60814,2874.95785418,1012.4720459,924.905822754,1.1057561636,3.17000007629
2456569.60886,2870.25047488,1012.64398193,925.125915527,1.10516786575,3.19000005722
2456569.60958,2881.94477495,1012.78955078,925.251037598,1.1045987606,3.21000003815
2456569.6103,2873.3662484,1013.12084961,925.645446777,1.10405516624,3.22000002861
2456569.61102,2860.32158563,1013.90808105,925.697692871,1.10353350639,3.20000004768
2456569.61174,2870.47803146,1014.24395752,925.77331543,1.10303425789,3.31999993324
2456569.61247,2870.0433746,1014.9197998,926.01940918,1.10255610943,3.23000001907
2456569.61319,2876.2107147,1016.00280762,926.410339355,1.10210084915,3.38000011444
2456569.61398,2865.79551738,1011.55444336,925.018798828,1.10162723064,3.26999998093
2456569.6147,2875.96376741,1012.21044922,925.259155273,1.10122013092,3.28999996185
2456569.61542,2868.31962149,1013.67553711,925.472473145,1.1008336544,3.51999998093
