# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.737550939999986440e+03 1.002432098888154766e+00 2.311783148716592840e-03 9.160000000000000142e+00 -2.879999999999999893e+00 3.968999999999999861e+00 3.968999999999999861e+00 3.968999999999999861e+00 4.390217966771126044e+02 1.137086135499999928e+00 2.500000000000000000e+01
8.737551380000077188e+03 9.969547670141402085e-01 2.306730031075579501e-03 9.289999999999999147e+00 -3.200000000000000178e+00 3.908599999999999852e+00 3.908599999999999852e+00 3.908599999999999852e+00 4.407479966640472639e+02 1.136605476860000019e+00 2.500000000000000000e+01
8.737551810000091791e+03 9.990193708895159785e-01 2.306947115594170251e-03 9.699999999999999289e+00 -3.339999999999999858e+00 3.985199999999999854e+00 3.985199999999999854e+00 3.985199999999999854e+00 4.410881966614722955e+02 1.136128274420000084e+00 2.500000000000000000e+01
8.737552250000182539e+03 9.987240421315021210e-01 2.308235382957632680e-03 9.539999999999999147e+00 -3.220000000000000195e+00 3.959000000000000075e+00 3.959000000000000075e+00 3.959000000000000075e+00 4.396895966720580873e+02 1.135656590119999976e+00 2.500000000000000000e+01
8.737552680000197142e+03 1.004189867588811902e+00 2.323894514705608823e-03 9.570000000000000284e+00 -3.319999999999999840e+00 4.484700000000000131e+00 4.484700000000000131e+00 4.484700000000000131e+00 4.383539966821670077e+02 1.135188665460000079e+00 2.500000000000000000e+01
8.737553110000211746e+03 1.001679006754332413e+00 2.314078093366612413e-03 9.529999999999999361e+00 -3.200000000000000178e+00 4.028800000000000381e+00 4.028800000000000381e+00 4.028800000000000381e+00 4.404833966660499414e+02 1.134724042780000053e+00 2.500000000000000000e+01
8.737553540000226349e+03 9.949966027323251527e-01 2.303193606165893775e-03 9.390000000000000568e+00 -3.339999999999999858e+00 4.094699999999999562e+00 4.094699999999999562e+00 4.094699999999999562e+00 4.442759966373444058e+02 1.134266716610000003e+00 2.500000000000000000e+01
8.737553979999851435e+03 9.956011850212426184e-01 2.319170617119136347e-03 9.720000000000000639e+00 -3.970000000000000195e+00 4.568299999999999805e+00 4.568299999999999805e+00 4.568299999999999805e+00 4.460021966242790654e+02 1.133813466459999919e+00 2.500000000000000000e+01
8.737554409999866039e+03 1.005860455945200238e+00 2.321278790053075015e-03 9.570000000000000284e+00 -3.189999999999999947e+00 4.048199999999999577e+00 4.048199999999999577e+00 4.048199999999999577e+00 4.429277966475486323e+02 1.133366715740000030e+00 2.500000000000000000e+01
8.737554839999880642e+03 1.002270191670256771e+00 2.311899068140645976e-03 9.599999999999999645e+00 -3.270000000000000018e+00 4.001900000000000013e+00 4.001900000000000013e+00 4.001900000000000013e+00 4.414283966588973840e+02 1.132924255750000109e+00 2.500000000000000000e+01
8.737555269999895245e+03 9.997075392718492992e-01 2.308530840560300227e-03 9.779999999999999361e+00 -3.009999999999999787e+00 3.940700000000000092e+00 3.940700000000000092e+00 3.940700000000000092e+00 4.436837966418266319e+02 1.132486680069999974e+00 2.500000000000000000e+01
8.737555709999985993e+03 1.004078741790051188e+00 2.316312321136940449e-03 9.060000000000000497e+00 -3.200000000000000178e+00 4.185699999999999754e+00 4.185699999999999754e+00 4.185699999999999754e+00 4.432553966450691405e+02 1.132055537090000064e+00 2.500000000000000000e+01
8.737556140000000596e+03 1.003554302072381166e+00 2.326205604272075980e-03 9.349999999999999645e+00 -3.200000000000000178e+00 4.233900000000000219e+00 4.233900000000000219e+00 4.233900000000000219e+00 4.461281966233253229e+02 1.131627563309999918e+00 2.500000000000000000e+01
8.737556570000015199e+03 1.001544452383683392e+00 2.319107919260130629e-03 9.720000000000000639e+00 -3.319999999999999840e+00 4.387299999999999756e+00 4.387299999999999756e+00 4.387299999999999756e+00 4.467707966184615884e+02 1.131194127879999956e+00 2.500000000000000000e+01
8.737557020000182092e+03 1.001335272065024595e+00 2.316030910289133306e-03 9.859999999999999432e+00 -3.540000000000000036e+00 4.108999999999999986e+00 4.108999999999999986e+00 4.108999999999999986e+00 4.467077966189384028e+02 1.130776627239999943e+00 2.500000000000000000e+01
