# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.638445189999880313e+03 9.940458023611099536e-01 2.795370484131139838e-03 -6.700000000000000400e-01 -9.899999999999999911e-01 2.394400000000000084e+00 2.394400000000000084e+00 2.394400000000000084e+00 4.600699999999999932e+02 1.004138510270000006e+00 3.000000000000000000e+01
8.638445710000120016e+03 9.836033347441349717e-01 2.772286373997579108e-03 -4.899999999999999911e-01 -1.020000000000000018e+00 2.340599999999999792e+00 2.340599999999999792e+00 2.340599999999999792e+00 4.619800000000000182e+02 1.004050295279999894e+00 3.000000000000000000e+01
8.638446239999959289e+03 9.893467004365850137e-01 2.797510417238819030e-03 -4.600000000000000200e-01 -1.250000000000000000e+00 2.388399999999999856e+00 2.388399999999999856e+00 2.388399999999999856e+00 4.563399999999999750e+02 1.003969883409999930e+00 3.000000000000000000e+01
8.638446779999880164e+03 9.869642710742090319e-01 2.791646439975039098e-03 -3.499999999999999778e-01 -8.900000000000000133e-01 2.372199999999999864e+00 2.372199999999999864e+00 2.372199999999999864e+00 4.461100000000000136e+02 1.003899720449999977e+00 3.000000000000000000e+01
8.638447310000190555e+03 9.926334202891859970e-01 2.805320042812974989e-03 -9.300000000000000488e-01 -8.299999999999999600e-01 2.387599999999999945e+00 2.387599999999999945e+00 2.387599999999999945e+00 4.499399999999999977e+02 1.003836560469999917e+00 3.000000000000000000e+01
8.638447840000040742e+03 9.826497319131920483e-01 2.786723568204761952e-03 -6.300000000000000044e-01 -9.200000000000000400e-01 2.389200000000000212e+00 2.389200000000000212e+00 2.389200000000000212e+00 4.480699999999999932e+02 1.003781944450000019e+00 3.000000000000000000e+01
8.638448369999880015e+03 9.813280350444469891e-01 2.789416047346672013e-03 -2.600000000000000089e-01 -6.999999999999999556e-01 2.384500000000000064e+00 2.384500000000000064e+00 2.384500000000000064e+00 4.477900000000000205e+02 1.003736018199999913e+00 3.000000000000000000e+01
8.638448890000119718e+03 9.857516701645220314e-01 2.799587725929180999e-03 -4.600000000000000200e-01 -6.500000000000000222e-01 2.406400000000000095e+00 2.406400000000000095e+00 2.406400000000000095e+00 4.448799999999999955e+02 1.003692236240000035e+00 3.000000000000000000e+01
8.638449510000180453e+03 9.903415357863659674e-01 2.796473268488001204e-03 -7.000000000000000666e-02 -6.800000000000000488e-01 2.346099999999999852e+00 2.346099999999999852e+00 2.346099999999999852e+00 4.423600000000000136e+02 1.003659236310000091e+00 3.000000000000000000e+01
8.638450139999860767e+03 9.918694491134329994e-01 2.799532651283080827e-03 3.099999999999999978e-01 -1.040000000000000036e+00 2.325800000000000090e+00 2.325800000000000090e+00 2.325800000000000090e+00 4.377300000000000182e+02 1.003639153319999977e+00 3.000000000000000000e+01
